Package Source,Line,Function,UFI
authy/0.9.3/src/api/user.rs,86,"pub fn new(client: &Client, email: &str, country_code: u16, phone: &str, send_instructions: bool) -> Result<(Status, UserNew), AuthyError> {",
authy/0.9.5/src/api/user.rs,86,"pub fn new(client: &Client, email: &str, country_code: u16, phone: &str, send_instructions: bool) -> Result<(Status, UserNew), AuthyError> {",
bindgen/0.29.1/src/lib.rs,1157,"pub fn generate(mut options: BindgenOptions,",
bindgen/0.30.0/src/lib.rs,1335,pub fn generate(,
chashmap/2.2.0/src/lib.rs,638,"pub fn filter<F>(&self, predicate: F)",
cpal/0.4.2/src/lib.rs,362,pub fn get_channels(&self) -> ChannelsCount {,
cpal/0.4.2/src/lib.rs,372,pub fn get_samples_rate(&self) -> SamplesRate {,
cpal/0.4.2/src/lib.rs,382,pub fn get_samples_format(&self) -> SampleFormat {,
cpal/0.4.3/src/lib.rs,362,pub fn get_channels(&self) -> ChannelsCount {,
cpal/0.4.3/src/lib.rs,372,pub fn get_samples_rate(&self) -> SamplesRate {,
cpal/0.4.3/src/lib.rs,382,pub fn get_samples_format(&self) -> SampleFormat {,
cpal/0.4.4/src/lib.rs,362,pub fn get_channels(&self) -> ChannelsCount {,
cpal/0.4.4/src/lib.rs,372,pub fn get_samples_rate(&self) -> SamplesRate {,
cpal/0.4.4/src/lib.rs,382,pub fn get_samples_format(&self) -> SampleFormat {,
cpal/0.4.5/src/lib.rs,362,pub fn get_channels(&self) -> ChannelsCount {,
cpal/0.4.5/src/lib.rs,372,pub fn get_samples_rate(&self) -> SamplesRate {,
cpal/0.4.5/src/lib.rs,382,pub fn get_samples_format(&self) -> SampleFormat {,
cpal/0.4.6/src/samples_formats.rs,28,pub fn get_sample_size(&self) -> usize {,
cpal/0.4.6/src/lib.rs,131,pub fn get_endpoints_list() -> EndpointsIterator {,
cpal/0.4.6/src/lib.rs,144,pub fn get_default_endpoint() -> Option<Endpoint> {,
cpal/0.4.6/src/lib.rs,162,pub fn get_supported_formats_list(,
cpal/0.4.6/src/lib.rs,177,pub fn get_name(&self) -> String {,
cpal/0.4.6/src/lib.rs,392,pub fn get_channels(&self) -> ChannelsCount {,
cpal/0.4.6/src/lib.rs,402,pub fn get_samples_rate(&self) -> SamplesRate {,
cpal/0.4.6/src/lib.rs,412,pub fn get_samples_format(&self) -> SampleFormat {,
cpal/0.5.0/src/lib.rs,99,pub fn get_endpoints_list() -> EndpointsIterator {,
cpal/0.5.0/src/lib.rs,112,pub fn get_default_endpoint() -> Option<Endpoint> {,
cpal/0.5.0/src/lib.rs,130,pub fn get_supported_formats_list(,
cpal/0.5.0/src/lib.rs,145,pub fn get_name(&self) -> String {,
cpal/0.5.0/src/samples_formats.rs,28,pub fn get_sample_size(&self) -> usize {,
cpal/0.5.1/src/samples_formats.rs,28,pub fn get_sample_size(&self) -> usize {,
cpal/0.5.1/src/lib.rs,99,pub fn get_endpoints_list() -> EndpointsIterator {,
cpal/0.5.1/src/lib.rs,112,pub fn get_default_endpoint() -> Option<Endpoint> {,
cpal/0.5.1/src/lib.rs,130,pub fn get_supported_formats_list(,
cpal/0.5.1/src/lib.rs,145,pub fn get_name(&self) -> String {,
cpal/0.6.0/src/samples_formats.rs,28,pub fn get_sample_size(&self) -> usize {,
cpal/0.6.0/src/lib.rs,182,pub fn get_endpoints_list() -> EndpointsIterator {,
cpal/0.6.0/src/lib.rs,195,pub fn get_default_endpoint() -> Option<Endpoint> {,
cpal/0.6.0/src/lib.rs,219,pub fn get_supported_formats_list(,
cpal/0.6.0/src/lib.rs,235,pub fn get_name(&self) -> String {,
cpal/0.7.0/src/samples_formats.rs,28,pub fn get_sample_size(&self) -> usize {,
cpal/0.7.0/src/lib.rs,182,pub fn get_endpoints_list() -> EndpointsIterator {,
cpal/0.7.0/src/lib.rs,195,pub fn get_default_endpoint() -> Option<Endpoint> {,
cpal/0.7.0/src/lib.rs,219,pub fn get_supported_formats_list(,
cpal/0.7.0/src/lib.rs,235,pub fn get_name(&self) -> String {,
cpal/0.8.0/src/samples_formats.rs,28,pub fn get_sample_size(&self) -> usize {,
csrf/0.2.7/src/core.rs,130,pub fn token(&self) -> &[u8] {,
csrf/0.2.8/src/core.rs,130,pub fn token(&self) -> &[u8] {,
csrf/0.3.0/src/core.rs,130,pub fn token(&self) -> &[u8] {,
eudex/0.1.0/src/lib.rs,386,"pub fn similar(a: &str, b: &str) -> bool {",
eudex/0.1.1/src/lib.rs,168,"pub fn similar(a: &str, b: &str) -> bool {",
flexi_logger/0.6.0/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.10/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.12/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.2/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.2/src/logger.rs,137,pub fn timestamp(mut self) -> Logger {,
flexi_logger/0.6.11/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.13/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.5/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.1/src/logger.rs,137,pub fn timestamp(mut self) -> Logger {,
flexi_logger/0.6.1/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.9/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.8/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
flexi_logger/0.6.6/src/deprecated/mod.rs,10,"pub fn init(config: LogConfig, loglevelspec: Option<String>) -> Result<(), FlexiLoggerError> {",
gcc/0.3.52/src/lib.rs,237,"pub fn compile_library(output: &str, files: &[&str]) {",
gcc/0.3.53/src/lib.rs,237,"pub fn compile_library(output: &str, files: &[&str]) {",
gcc/0.3.54/src/lib.rs,237,"pub fn compile_library(output: &str, files: &[&str]) {",
glib/0.4.1/src/auto/source.rs,69,"//pub fn get_current_time(&self, timeval: /*Ignored*/&mut TimeVal) {",
glib/0.4.1/src/auto/functions.rs,60,//pub fn atexit(func: /*Unknown conversion*//*Unimplemented*/VoidFunc) {,
glib/0.4.1/src/auto/functions.rs,96,pub fn basename<P: AsRef<std::path::Path>>(file_name: P) -> Option<std::path::PathBuf> {,
glib/0.4.1/src/auto/functions.rs,439,pub fn format_size_for_display(size: i64) -> Option<String> {,
gssapi-sys/0.1.0/src/lib.rs,363,"pub fn gss_sign(minor_status: *mut OM_uint32,",
gssapi-sys/0.1.0/src/lib.rs,369,"pub fn gss_verify(minor_status: *mut OM_uint32,",
gssapi-sys/0.1.0/src/lib.rs,375,"pub fn gss_seal(minor_status: *mut OM_uint32,",
gssapi-sys/0.1.0/src/lib.rs,383,"pub fn gss_unseal(minor_status: *mut OM_uint32,",
gurobi/0.3.0/src/model/mod.rs,637,pub fn tune(&self) -> Result<()> { self.check_apicall(unsafe { ffi::GRBtunemodel(self.model) }) },
gurobi/0.3.0/src/model/mod.rs,643,"pub fn get_tune_result(&self, n: i32) -> Result<()> {",
gurobi/0.3.0/src/model/mod.rs,659,"pub fn get_concurrent_env(&self, num: i32) -> Result<Env> {",
