Dependent,PDN,PCDN,ACTUAL,Evidence (optional),Reason
io :: crates :: cookie :: v_0_7_2,YES,NO,NO,,no invocation of the said method
io :: crates :: cookie :: v_0_7_3,YES,NO,NO,,no invocation of the said method
io :: crates :: cookie :: v_0_7_4,YES,NO,NO,,no invocation of the said method
io :: crates :: cookie :: v_0_7_5,YES,NO,NO,,no invocation of the said method
io :: crates :: cookie :: v_0_7_6,YES,NO,NO,,no invocation of the said method
io :: crates :: dbgp :: v_0_0_1,YES,NO,NO,,no import of dependency
io :: crates :: ffi_utils :: v_0_1_0,YES,YES,YES,"src/base64.rs:22:    b64::encode_config(input, URL_SAFE)",
io :: crates :: ffi_utils :: v_0_2_0,YES,YES,YES,"src/base64.rs:22:    b64::encode_config(input, URL_SAFE)",
io :: crates :: ffi_utils :: v_0_3_0,YES,YES,YES,"src/base64.rs:22:    b64::encode_config(input, URL_SAFE)",
io :: crates :: gotham :: v_0_1_0,YES,NO,YES,"0.1.0/src/middleware/session/mod.rs:765:        SessionIdentifier { value: base64::encode_config(&bytes, base64::URL_SAFE_NO_PAD) }",called inside a generic fn
io :: crates :: gotham :: v_0_1_1,YES,NO,YES,"0.1.1/src/middleware/session/mod.rs:765:        SessionIdentifier { value: base64::encode_config(&bytes, base64::URL_SAFE_NO_PAD) }",called inside a generic fn
io :: crates :: gotham :: v_0_1_2,YES,NO,YES,"0.1.2/src/middleware/session/mod.rs:765:        SessionIdentifier { value: base64::encode_config(&bytes, base64::URL_SAFE_NO_PAD) }",called inside a generic fn
io :: crates :: gutenberg :: v_0_0_3,YES,NO,NO,,no invocation of the said method
io :: crates :: image_base64 :: v_0_1_0,YES,NO,NO,,no invocation of the said method
io :: crates :: jsonwebtoken :: v_2_0_0_beta_1,YES,NO,YES,"src/crypto.rs:32, src/crypto.rs:60, src/serialization.rs:21",missing callgraph
io :: crates :: ktmpl :: v_0_6_0,YES,NO,YES,,no invocation of the said method
io :: crates :: ktmpl :: v_0_7_0,YES,NO,YES,,no invocation of the said method
io :: crates :: libreauth :: v_0_6_0,YES,YES,YES,"0.6.0/src/pass/phc.rs:55:    base64::encode_config(data, PHC_BASE64)",
io :: crates :: libreauth :: v_0_6_1,YES,YES,YES,"0.6.1/src/pass/phc.rs:55:    base64::encode_config(data, PHC_BASE64)",
io :: crates :: livesplit_core :: v_0_1_3,YES,YES,YES,"0.1.3/src/image.rs:78:            base64::encode_config_buf(data, STANDARD, &mut self.url);",
io :: crates :: livesplit_core :: v_0_2_0,YES,YES,YES,"0.2.0/src/image.rs:78:            base64::encode_config_buf(data, STANDARD, &mut self.url);",
io :: crates :: livesplit_core :: v_0_3_0,YES,YES,YES,"0.3.0/src/image.rs:78:            base64::encode_config_buf(data, STANDARD, &mut self.url);",
io :: crates :: medallion :: v_1_0_0,YES,YES,YES,"1.0.0/src/crypt.rs:38:, 1.0.0/src/claims.rs:61 1.0.0/src/lib.rs:59:",
