Dependent,PDN?,PCDN?,Actual,Evidence,Reason
io :: crates :: cargo :: v_0_21_1,YES,NO,YES,,
io :: crates :: cargo :: v_0_22_0,YES,NO,YES,,
io :: crates :: cargo :: v_0_23_0,YES,YES,YES,0.23.0/src/cargo/sources/registry/mod.rs:337:            entry.unpack_in(parent).chain_err(|| {,
io :: crates :: cargo :: v_0_24_0,YES,YES,YES,0.24.0/src/cargo/sources/registry/mod.rs:339:            entry.unpack_in(parent).chain_err(|| {,
io :: crates :: cargo_deb :: v_1_5_0,YES,NO,NO,,no invocation
io :: crates :: cargo_deb :: v_1_7_0,YES,NO,NO,,no invocation
io :: crates :: cargo_deb :: v_1_8_0,YES,NO,NO,,no invocation
io :: crates :: cargo_deb :: v_1_8_1,YES,NO,NO,,no invocation
io :: crates :: debcargo :: v_1_0_0,YES,NO,NO,1.3.0/src/main.rs:306:        if !try!(entry.unpack_in(tempdir.path())) {,no callgraph
io :: crates :: dhl :: v_0_1_2,YES,YES,YES, entry.unpack(dest).map_err(,
io :: crates :: dkregistry :: v_0_1_0,YES,YES,YES,archive.unpack(target_dir)?;,
io :: crates :: download_sdl2 :: v_0_0_1,YES,NO,NO,,no invocation of said method
io :: crates :: download_sdl2 :: v_0_0_2,YES,NO,NO,,no invocation of said method
io :: crates :: ergo_fs :: v_0_1_0,YES,NO,NO,,no invocation of said method
io :: crates :: ergo_fs :: v_0_1_1,YES,NO,NO,,no invocation of said method
io :: crates :: ergo_fs :: v_0_1_2,YES,NO,NO,,no invocation of said method
io :: crates :: ergo_fs :: v_0_1_3,YES,NO,NO,,no invocation of said method
io :: crates :: ergo_fs :: v_0_1_4,YES,NO,NO,,no invocation of said method
io :: crates :: ergo_fs :: v_0_1_5,YES,NO,NO,,no invocation of said method
io :: crates :: grnenv_rs :: v_0_1_1,YES,YES,YES,tar.unpack(install_dir)?;,
io :: crates :: grnenv_rs :: v_0_1_2,YES,YES,YES,tar.unpack(install_dir)?;,
io :: crates :: grnenv_rs :: v_0_2_0,YES,YES,YES,tar.unpack(install_dir)?;,
io :: crates :: json_job_dispatch :: v_1_0_0,YES,NO,NO,,no invocation of said method
io :: crates :: json_job_dispatch :: v_1_0_1,YES,NO,NO,,no invocation of said method
