Dependent,PDN?,PCDN?,Actual,Evidence,Reason
io :: crates :: biscuit :: v_0_0_1,YES,NO,NO,,no invocation of said method
io :: crates :: biscuit :: v_0_0_2,YES,NO,NO,,no invocation of said method
io :: crates :: biscuit :: v_0_0_3,YES,NO,NO,,no invocation of said method
io :: crates :: chain :: v_0_1_1,YES,NO,NO,no callgraph,error: no matching version `^0.4.3` found for package `ring` (required by `chain`)
io :: crates :: csrf :: v_0_0_1,YES,NO,NO,no callgraph,no matching version `^0.7` found for package `ring` (required by `csrf`) 
io :: crates :: iron_csrf :: v_0_0_1,YES,NO,NO,no callgraph,error: no matching version `^0.7` found for package `ring` (required by `iron-csrf`)
io :: crates :: iron_csrf :: v_0_0_10,YES,NO,NO,no callgraph,-
io :: crates :: iron_csrf :: v_0_0_2,YES,NO,NO,no callgraph,-
io :: crates :: iron_csrf :: v_0_0_3,YES,NO,NO,no callgraph,-
io :: crates :: iron_csrf :: v_0_0_4,YES,NO,NO,no callgraph,-
io :: crates :: iron_csrf :: v_0_0_5,YES,NO,NO,no callgraph,-
io :: crates :: iron_csrf :: v_0_0_6,YES,NO,NO,no callgraph,-
io :: crates :: iron_csrf :: v_0_0_7,YES,NO,NO,no callgraph,-
io :: crates :: iron_csrf :: v_0_0_8,YES,NO,NO,no callgraph,-
io :: crates :: iron_csrf :: v_0_0_9,YES,NO,NO,no callgraph,-
io :: crates :: jsonwebtoken :: v_2_0_0,YES,NO,NO,no callgraph,error: no matching version `^0.7` found for package `ring` (required by `jsonwebtoken`)
io :: crates :: jsonwebtoken :: v_2_0_0_beta_1,YES,NO,NO,no callgraph,error: no matching version `^0.7` found for package `ring` (required by `jsonwebtoken`)
io :: crates :: nss_webpki :: v_0_3_2,YES,NO,NO,no callgraph,error: no matching version `^0.3.0` found for package `webpki` (required by `nss-webpki`)
io :: crates :: ring :: v_0_2_0,YES,NO,NO,no callgraph,the trait bound code error
io :: crates :: ring :: v_0_2_1,YES,NO,NO,no callgraph,the trait bound code error
io :: crates :: ring :: v_0_2_2,YES,NO,NO,no callgraph,the trait bound code error
io :: crates :: ring :: v_0_2_3,YES,NO,NO,no callgraph,the trait bound code error
io :: crates :: ring :: v_0_3_0,YES,NO,NO,no callgraph,the trait bound `&&std::vec::Vec<std::string::String>: std::iter::Iterator` is not satisfied
io :: crates :: ring :: v_0_3_1,YES,NO,NO,no callgraph,the trait bound `&&std::vec::Vec<std::string::String>: std::iter::Iterator` is not satisfied
io :: crates :: ring :: v_0_4_0,YES,NO,NO,no callgraph,-
io :: crates :: ring :: v_0_4_1,YES,NO,NO,no callgraph,-
io :: crates :: ring :: v_0_4_2,YES,NO,NO,no callgraph,-
io :: crates :: ring :: v_0_4_3,YES,NO,NO,no callgraph,-
io :: crates :: ring :: v_0_5_0,YES,NO,NO,no callgraph,error[E0277] (same as above)
io :: crates :: ring :: v_0_5_1,YES,NO,NO,no callgraph,-
io :: crates :: ring :: v_0_5_2,YES,NO,NO,no callgraph,-
io :: crates :: ring :: v_0_5_3,YES,NO,NO,no callgraph,-
io :: crates :: ring :: v_0_6_0,YES,NO,NO,no callgraph,error[E0277] (same as above)
io :: crates :: ring :: v_0_6_0_alpha,YES,NO,NO,no callgraph,-
